STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1491,BHAGIRATHI AT GANGOTRI,UTTARANCHAL,8,8,8,8.6,8.6,8.6,8.38,8.38,8.38,94,94,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARANCHAL,10.8,20.4,16.35,8.6,11.4,9.65,7.53,8.5,8,132,156,143.33,0.6,1,0.73,NA,NA,NA,5000,5000,5000,2300,7000,3866.67
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARANCHAL,11.5,20.6,16.9,8,9.6,8.85,7.35,8.5,8.13,80,94,86.67,0.4,12,4.6,NA,NA,NA,1100,1100,1100,1100,200000,107033
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARANCHAL,11,20,16.25,8.2,9.6,8.85,7.2,8.5,7.99,112,145,129,0.8,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARANCHAL,13.6,18.2,16.78,8.4,11.2,9.4,7.4,8.5,8.1,132,140,136.33,1,1.2,1.07,NA,NA,NA,200000,200000,160000,200000,200000,160000
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARANCHAL,17,19,17.83,1.2,9.8,6.95,7.21,8.51,8.11,88.6,110,99.2,1.2,1.4,1.27,NA,NA,NA,17000,17000,17000,920,22000,7946.67
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARANCHAL,15,19,17.23,8.2,10.4,8.95,7.28,8.5,7.93,118,142,131.33,0.6,1.4,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1060,GANGA AT RISHIKESH U/S,UTTARANCHAL,10,22,17.47,7.8,9.2,8.43,6.84,8.24,7.73,104,158,119.25,1,1.8,1.3,NA,NA,NA,NA,NA,NA,30,160,81.67
2725,GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARANCHAL,13,28,21.73,0.6,8,5.95,7.2,8.8,7.85,214,619,387.89,1.6,12,6.2,NA,NA,NA,NA,NA,NA,300,1600,1375
1061,GANGA AT HARIDWAR D/S,UTTARANCHAL,15.4,23.5,21.21,6,8.6,7.2,5.94,8.78,7.63,137,230,188.67,2.4,8.4,5.3,NA,NA,NA,NA,NA,NA,600,1600,1445.45
